k,num_removed_kmers,candidate_paper_title,candidate_mag_id,candidate_dblp_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
6,3000,Definability equals recognizability for graphs of bounded treewidth.,2373301726,conf/lics/BojanczykP16,"(49, '-', 21)",129762.29471158981,Match,0.01990509033203125,0.02777385711669922,0.048766374588012695,0.4,0.85
6,3000,Modellbildung und Simulation.,1663464302,conf/dagstuhl/Mattern93,"(12, '-', 12)",129762.29471158981,Match,0.006509304046630859,0.008056879043579102,0.014918327331542969,0.4,0.85
6,3000,Formalising Surveillance and Identity.,1663493285,journals/corr/WangT14b,"(15, '-', 17)",129762.29471158981,Match,0.019928693771362305,0.02642202377319336,0.04737353324890137,0.4,0.85
6,3000,Book reviews [1 book reviewed].,2406359480,journals/wc/Misra14,"(26, '-', 26)",129762.29471158981,Match,0.005748271942138672,0.0036187171936035156,0.00951838493347168,0.4,0.85
6,3000,On the security of an identity-based authenticated group key agreement protocol for imbalanced mobile networks.,2406363964,journals/iacr/Sun13,"(59, '-', 32)",129762.29471158981,Match,0.05064082145690918,0.06691837310791016,0.12019968032836914,0.4,0.85
6,3000,Reachability and recurrence in a modular generalization of annihilating random walks (and lights-out games) on hypergraphs,1663588673,journals/corr/abs-1102-1440,"(66, '-', 15)",129762.29471158981,Match,0.04063868522644043,0.059894561767578125,0.10291457176208496,0.4,0.85
6,3000,Visual estimation of pointed targets for robot guidance via fusion of face pose and hand orientation.,2000588622,conf/iccvw/PaterakiBT11,"(74, '-', 12)",129762.29471158981,Match,0.0329287052154541,0.04721999168395996,0.08194446563720703,0.4,0.85
6,3000,Learning from probabilities: Dependences within real-time systems.,2000590651,conf/etfa/MelaniNS13,"(27, '-', 10)",129762.29471158981,Match,0.02524423599243164,0.03211402893066406,0.058603763580322266,0.4,0.85
6,3000,Channel estimation for space-time orthogonal block codes.,2000594698,conf/icc/BudianuT01,"(32, '-', 17)",129762.29471158981,Match,0.021643400192260742,0.027970314025878906,0.05068683624267578,0.4,0.85
6,3000,"Markov semigroups, monoids, and groups",2000596726,journals/corr/abs-1202-3013,"(22, '-', 12)",129762.29471158981,Match,0.007357597351074219,0.013049602508544922,0.020932912826538086,0.4,0.85
6,3000,Decentralized supervisory control of discrete-event systems.,2373361081,journals/isci/LinW88a,"(28, '-', 35)",129762.29471158981,Match,0.017982959747314453,0.01942157745361328,0.038216590881347656,0.4,0.85
6,3000,Explicit rank-metric codes list-decodable with optimal redundancy.,1663773594,journals/corr/GuruswamiW13,"(40, '-', 13)",129762.29471158981,Match,0.015167236328125,0.01897430419921875,0.03486967086791992,0.4,0.85
6,3000,Graphs having distance-n domination number half their order.,2000599051,journals/dam/FischermannV02,"(40, '-', 21)",129762.29471158981,Match,0.01420450210571289,0.022379159927368164,0.037464141845703125,0.4,0.85
6,3000,Asynchronous spiking neural P systems with local synchronization of rules.,2000606471,journals/isci/WuZLJ22,"(34, '-', 30)",129762.29471158981,Match,0.024502277374267578,0.02147507667541504,0.04679155349731445,0.4,0.85
6,3000,A distributed logic for Networked Cyber-Physical Systems.,1663945762,journals/scp/KimST13,"(15, '-', 15)",129762.29471158981,Match,0.019806861877441406,0.023427963256835938,0.0441584587097168,0.4,0.85
6,3000,Combinators for bidirectional tree transformations: A linguistic approach to the view-update problem.,2000616678,journals/toplas/FosterGMPS07,"(43, '-', 15)",129762.29471158981,Match,0.023995637893676758,0.03208780288696289,0.05733489990234375,0.4,0.85
6,3000,Vers une meilleure compr&eacute;hension de la diff&eacute;rence th&eacute;orique entre un composant et un service.,2406405226,conf/inforsid/Hock-koonO11,"(63, '-', 27)",129762.29471158981,Match,0.027828216552734375,0.03245878219604492,0.06150102615356445,0.4,0.85
6,3000,Occlusion handling frame rate up-conversion.,2000621257,conf/imspa/OzkalayciA11,"(27, '-', 18)",129762.29471158981,Match,0.01762080192565918,0.023178815841674805,0.04170846939086914,0.4,0.85
6,3000,Retraction Note to: Fuzzy logic-based prediction of compressive strength of lightweight geopolymers.,2000621816,journals/nca/Nazari20c,"(49, '-', 22)",129762.29471158981,Match,0.027627229690551758,0.03560376167297363,0.06456947326660156,0.4,0.85
6,3000,Practical adaptive neural control of nonlinear systems with unknown time delays.,2000622577,conf/amcc/HongGL04,"(34, '-', 29)",129762.29471158981,Match,0.015141487121582031,0.021123886108398438,0.03706717491149902,0.4,0.85
6,3000,Introduction to programming shared-memory and distributed-memory parallel computers.,2000624026,journals/crossroads/Quammen02,"(35, '-', 19)",129762.29471158981,Match,0.022548675537109375,0.03141283988952637,0.05516672134399414,0.4,0.85
6,3000,Bookmarks (only italian).,2406412830,journals/ixda/Cambiassi05,"(11, '-', 5)",129762.29471158981,Match,0.0013017654418945312,0.0018990039825439453,0.0032863616943359375,0.4,0.85
6,3000,On the minimum distance of elliptic curve codes.,1664162612,conf/isit/LiWZ15,"(34, '-', 15)",129762.29471158981,Match,0.010556459426879883,0.013825178146362305,0.024921417236328125,0.4,0.85
6,3000,Every rayless graph has an unfriendly partition.,2000632793,journals/combinatorica/BruhnDGS10,"(39, '-', 8)",129762.29471158981,Match,0.011124372482299805,0.014421939849853516,0.026179075241088867,0.4,0.85
6,3000,Automatic gain control.,1664234370,conf/icassp/KangL84,"(9, '-', 9)",129762.29471158981,Match,0.0031633377075195312,0.0061969757080078125,0.009617805480957031,0.4,0.85
6,3000,Component structure of the vacant set induced by a random walk on a random graph.,1664239115,conf/soda/CooperF11,"(47, '-', 16)",129762.29471158981,Match,0.016585826873779297,0.023000478744506836,0.04046893119812012,0.4,0.85
6,3000,Toward the integration of datasets in the CRIS environment: A preliminary analysis.,2406424292,conf/eurocris/LuziCR12,"(33, '-', 13)",129762.29471158981,Match,0.03162837028503418,0.04051637649536133,0.07366347312927246,0.4,0.85
6,3000,On normalization of inconsistency indicators in pairwise comparisons.,1664278360,journals/corr/KoczkodajMMPRSS17,"(34, '-', 34)",129762.29471158981,Match,0.031960248947143555,0.041733741760253906,0.07523846626281738,0.4,0.85
6,3000,Improved bounds for the randomized decision tree complexity of recursive majority.,2406438024,journals/corr/MagniezNSSTX13,"(46, '-', 41)",129762.29471158981,Match,0.033657073974609375,0.04270482063293457,0.07795596122741699,0.4,0.85
6,3000,MKLab interactive video retrieval system.,2000652213,conf/civr/VrochidisKMMNDMK09,"(17, '-', 17)",129762.29471158981,Match,0.005969047546386719,0.009268045425415039,0.015605688095092773,0.4,0.85
