k,num_removed_kmers,candidate_paper_title,candidate_mag_id,candidate_dblp_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
6,3000,A personalized music recommender service based on Fuzzy Inference System.,2509863519,conf/ACISicis/RahmanRCMR16,"(30, '-', 19)",117288.7003827095,Match,0.025582075119018555,0.034375905990600586,0.0610051155090332,0.4,0.85
6,3000,A fast algorithm for identifying Friends-of-Friends halos.,2509897643,journals/corr/FengM16b,"(24, '-', 18)",117288.7003827095,Match,0.0175173282623291,0.026738882064819336,0.04512596130371094,0.4,0.85
6,3000,Bilingual Experiments on an Opinion Comparable Corpus.,2481143342,conf/wassa/Martinez-Camara13,"(16, '-', 14)",117288.7003827095,Match,0.02824258804321289,0.03962588310241699,0.06916236877441406,0.4,0.85
6,3000,Multiversion Altruistic Locking.,2509937206,journals/corr/Peri16,"(10, '-', 8)",117288.7003827095,Match,0.012618541717529297,0.02133941650390625,0.03466320037841797,0.4,0.85
6,3000,Variable neighbourhood search: methods and applications.,2509937542,journals/4or/HansenMM08,"(22, '-', 20)",117288.7003827095,Match,0.008489847183227539,0.011067628860473633,0.019948482513427734,0.4,0.85
6,3000,DiaSim: A parameterized simulator for pervasive computing applications.,2481154688,conf/mobiquitous/BruneauJC09a,"(33, '-', 12)",117288.7003827095,Match,0.030928373336791992,0.04195261001586914,0.07409930229187012,0.4,0.85
6,3000,Vorwort der Herausgeber.,2481164140,journals/astawsa/Zwick19,"(11, '-', 11)",117288.7003827095,Match,0.0002512931823730469,0.00022411346435546875,0.0004878044128417969,0.4,0.85
6,3000,A subspace method for signature waveform estimation in synchronous CDMA systems.,2481178188,conf/pimrc/LiuX95,"(42, '-', 15)",117288.7003827095,Match,0.030471086502075195,0.03230762481689453,0.0637807846069336,0.4,0.85
6,3000,"Advanced Arithmetic for the Digital Computer, Design of Arithmetic Units.",2509973993,journals/entcs/Kulisch99,"(25, '-', 24)",117288.7003827095,Match,0.01947951316833496,0.020731687545776367,0.0408632755279541,0.4,0.85
6,3000,Summary and Conclusions.,2481193672,books/ox/13/ConteAC13,"(9, '-', 9)",117288.7003827095,Match,0.006468772888183594,0.00945138931274414,0.016257047653198242,0.4,0.85
6,3000,Hybrid On-demand greedy routing protocol with backtracking for Mobile Ad-Hoc Networks.,2509997347,conf/mwcn/MahmoodIM16,"(36, '-', 26)",117288.7003827095,Match,0.026627540588378906,0.03837895393371582,0.06618738174438477,0.4,0.85
6,3000,Deciding whether there are infinitely many prime graphs with forbidden induced subgraphs.,2510002277,journals/dam/BrignallCJO19,"(79, '-', 40)",117288.7003827095,Match,0.02242755889892578,0.03178095817565918,0.05512261390686035,0.4,0.85
6,3000,Organization Schemes in Institutional Repositories from Federal Universities.,2481246711,conf/hci/BritoSMCSF16,"(24, '-', 29)",117288.7003827095,Match,0.02667713165283203,0.034006595611572266,0.06167960166931152,0.4,0.85
6,3000,Changing of the guard.,2510057365,journals/lp/Luther16a,"(10, '-', 11)",117288.7003827095,Match,0.005096912384033203,0.006754875183105469,0.012134552001953125,0.4,0.85
6,3000,Programmieren in C.,2481355929,books/daglib/0009993,"(8, '-', 9)",117288.7003827095,Match,0.0026955604553222656,0.0042493343353271484,0.007120847702026367,0.4,0.85
6,3000,A call to arms.,2481404017,journals/queue/GrayC05,"(8, '-', 5)",117288.7003827095,Match,0.0002512931823730469,0.0002522468566894531,0.0005173683166503906,0.4,0.85
6,3000,A study on Welch FFT segment size selection method for spectrum awareness.,2510181300,conf/wcnc/IwataUTSL16a,"(34, '-', 11)",117288.7003827095,Match,0.026942729949951172,0.03320193290710449,0.061121463775634766,0.4,0.85
6,3000,Multiband jamming strategies with minimum rate constraints.,2510185102,conf/wcnc/BanawanUWH16a,"(36, '-', 13)",117288.7003827095,Match,0.01572895050048828,0.02246880531311035,0.038858890533447266,0.4,0.85
6,3000,When to use bit-wise neutrality.,2510199329,conf/cec/FriedrichN08,"(19, '-', 7)",117288.7003827095,Match,0.0019114017486572266,0.0021181106567382812,0.004107952117919922,0.4,0.85
6,3000,Vorwort des Herausgebers.,2481434925,journals/astawsa/Munnich15a,"(12, '-', 12)",117288.7003827095,Match,0.0002338886260986328,0.0002090930938720703,0.0004546642303466797,0.4,0.85
6,3000,Indexing and querying color sets of images.,2510207728,journals/corr/BelazzouguiKR16,"(31, '-', 14)",117288.7003827095,Match,0.013331174850463867,0.021692276000976562,0.03567028045654297,0.4,0.85
6,3000,Joint regularized nearest points for image set based face recognition.,2481490309,conf/fgr/YangLS15,"(49, '-', 14)",117288.7003827095,Match,0.02758622169494629,0.040069580078125,0.06889462471008301,0.4,0.85
