k,num_removed_kmers,candidate_paper_title,candidate_mag_id,candidate_dblp_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
6,3000,"Weak models of distributed computing, with connections to modal logic.",2610932619,conf/podc/HellaJKLLLSV12,"(34, '-', 12)",130077.86891269684,Match,0.02625417709350586,0.03493833541870117,0.06254768371582031,0.4,0.85
6,3000,Letter to the editor.,2610933515,journals/di/Nikkel05a,"(11, '-', 12)",130077.86891269684,Match,0.004595041275024414,0.008040666580200195,0.012965679168701172,0.4,0.85
6,3000,Closed form solutions of linear difference equations in terms of symmetric products.,2610934925,journals/cca/ChaP12,"(49, '-', 49)",130077.86891269684,Match,0.025634765625,0.03379464149475098,0.06076645851135254,0.4,0.85
6,3000,DEPLOY: industrial deployment of advanced system engineering methods for high productivity and dependability.,2610938110,conf/serene/Romanovsky08,"(59, '-', 14)",130077.86891269684,Match,0.035291194915771484,0.04461932182312012,0.08157801628112793,0.4,0.85
6,3000,Routing through networks with hierarchical topology aggregation.,2610958560,conf/iscc/AwerbuchDKS98,"(29, '-', 10)",130077.86891269684,Match,0.01775336265563965,0.023085355758666992,0.041786909103393555,0.4,0.85
6,3000,Applying color theory to digital media and visualization.,2610964488,conf/siggraph/Rhyne12,"(38, '-', 30)",130077.86891269684,Match,0.021424531936645508,0.027649402618408203,0.050162553787231445,0.4,0.85
6,3000,"The dynamics of message passing on dense graphs, with applications to compressed sensing.",2610971674,conf/isit/BayatiM10,"(49, '-', 18)",130077.86891269684,Match,0.02899956703186035,0.03884482383728027,0.0693049430847168,0.4,0.85
6,3000,Ad-hoc networks beyond unit disk graphs.,2610975971,conf/dialm/KuhnZ03,"(25, '-', 11)",130077.86891269684,Match,0.005632877349853516,0.009686946868896484,0.015748023986816406,0.4,0.85
6,3000,Arc consistency for soft constraints.,2610983401,journals/ai/CooperS04,"(20, '-', 16)",130077.86891269684,Match,0.014408588409423828,0.019725799560546875,0.03492140769958496,0.4,0.85
6,3000,Minimization of Incompletely Specified Sequential Machines.,2610986887,journals/tc/RaoB75,"(12, '-', 12)",130077.86891269684,Match,0.02803969383239746,0.03516077995300293,0.06458330154418945,0.4,0.85
6,3000,Co-projection-plane based 3-D padding for polyhedron projection for 360-degree video.,2610987508,conf/icmcs/LiLMYL17,"(46, '-', 13)",130077.86891269684,Match,0.026983022689819336,0.03935098648071289,0.0678253173828125,0.4,0.85
6,3000,Designing the user interface for speech recognition applications.,2610992079,conf/chi/ManeBKY96,"(28, '-', 14)",130077.86891269684,Match,0.018938779830932617,0.02333974838256836,0.043189048767089844,0.4,0.85
