k,num_removed_kmers,candidate_paper_title,candidate_mag_id,candidate_dblp_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
6,3000,Photovoltaic power generation.,2833578083,journals/pieee/Schwartz93,"(17, '-', 18)",128624.91013979912,Match,0.0058994293212890625,0.007754087448120117,0.014000415802001953,0.4,0.85
6,3000,Is social capital associated with synchronization in human communication? An analysis of Italian call records and measures of civic engagement.,2833794381,journals/epjds/MameiPNLVZP18,"(87, '-', 25)",128624.91013979912,Match,0.055033206939697266,0.07022929191589355,0.12772345542907715,0.4,0.85
6,3000,Optical fiber communications.,2833946419,journals/pieee/Sunak85,"(11, '-', 15)",128624.91013979912,Match,0.008715629577636719,0.010321855545043945,0.019483089447021484,0.4,0.85
6,3000,Distributed database systems.,2834105192,books/daglib/0068920,"(10, '-', 11)",128624.91013979912,Match,0.006735563278198242,0.01058197021484375,0.017760276794433594,0.4,0.85
6,3000,Photovoltaic power generation.,2834227124,journals/pieee/Schwartz93,"(17, '-', 18)",128624.91013979912,Match,0.005123615264892578,0.005644798278808594,0.010983467102050781,0.4,0.85
6,3000,Spread spectrum communications.,2835083408,journals/jasis/Sharma86,"(14, '-', 14)",128624.91013979912,Match,0.016468286514282227,0.019495725631713867,0.036637306213378906,0.4,0.85
6,3000,Lacunary ideal convergence in measure for sequences of fuzzy valued functions.,2835113649,journals/jifs/Kisi21,"(45, '-', 32)",128624.91013979912,Match,0.03671669960021973,0.0484464168548584,0.08686256408691406,0.4,0.85
6,3000,Automatic gain control.,2835171248,conf/icassp/KangL84,"(9, '-', 9)",128624.91013979912,Match,0.003172159194946289,0.006058692932128906,0.009470224380493164,0.4,0.85
6,3000,Photovoltaic power generation.,2835489327,journals/pieee/Schwartz93,"(17, '-', 18)",128624.91013979912,Match,0.0069446563720703125,0.008951902389526367,0.01624298095703125,0.4,0.85
6,3000,Photovoltaic power generation.,2835648094,journals/pieee/Schwartz93,"(17, '-', 18)",128624.91013979912,Match,0.0067288875579833984,0.008922815322875977,0.016002655029296875,0.4,0.85
