k,num_removed_kmers,paper_limit,paper_title,paper_id,best_candidate_id,2nd_best_candidate_id,query_time,ratio,hashmap_build_time
3,100,60000000,A multi-objective algorithm for U-shaped disassembly line balancing with partial destructive mode.,journals/nca/WangGL20,journals/nca/WangGL20,journals/asc/TarimoradiAZ15,7.638375759124756,"(106, '-', 98)",196.4754831790924
3,100,60000000,A multi-objective algorithm for U-shaped disassembly line balancing with partial destructive mode.,journals/nca/WangGL20,journals/nca/WangGL20,journals/asc/TarimoradiAZ15,7.638375759124756,"(106, '-', 98)",196.4754831790924
3,100,60000000,A Study of Deep Learning-Based Approaches for Session-Based Recommendation Systems.,journals/sncs/DangNN20,journals/robotica/Fox91c,journals/sncs/DangNN20,9.913695096969604,"(99, '-', 93)",196.4754831790924
3,100,60000000,A multi-objective algorithm for U-shaped disassembly line balancing with partial destructive mode.,journals/nca/WangGL20,journals/nca/WangGL20,journals/asc/TarimoradiAZ15,7.638375759124756,"(106, '-', 98)",196.4754831790924
3,100,60000000,A Study of Deep Learning-Based Approaches for Session-Based Recommendation Systems.,journals/sncs/DangNN20,journals/robotica/Fox91c,journals/sncs/DangNN20,9.913695096969604,"(99, '-', 93)",196.4754831790924
3,100,60000000,Formation shape control with distance and area constraints.,journals/ifacjsc/AndersonSSAS17,journals/bsl/Dobrinen14,books/hal/X17,6.568483352661133,"(106, '-', 74)",196.4754831790924
3,100,60000000,A multi-objective algorithm for U-shaped disassembly line balancing with partial destructive mode.,journals/nca/WangGL20,journals/nca/WangGL20,journals/asc/TarimoradiAZ15,7.638375759124756,"(106, '-', 98)",196.4754831790924
3,100,60000000,A Study of Deep Learning-Based Approaches for Session-Based Recommendation Systems.,journals/sncs/DangNN20,journals/robotica/Fox91c,journals/sncs/DangNN20,9.913695096969604,"(99, '-', 93)",196.4754831790924
3,100,60000000,Formation shape control with distance and area constraints.,journals/ifacjsc/AndersonSSAS17,journals/bsl/Dobrinen14,books/hal/X17,6.568483352661133,"(106, '-', 74)",196.4754831790924
3,100,60000000,"Performance analysis of an <i>M</i>/<i>G</i>/1 queue with bi-level randomized (<i>p</i>, <i>N</i><sub>1</sub>, <i>N</i><sub>2</sub>)-policy.",journals/rairo/KuangTYW22,journals/amc/Stevic13,journals/amc/Stevic13a,5.599625110626221,"(1028, '-', 932)",196.4754831790924
